[13B-REW 5.08][DL-340XB][AEM 30-0334 X Series]
Time(s)	Clock    	Switches        	RPM	PIM	PIM V	TPS V	InjFrPr	Inj +/-	IGL	IGT	FuelT	Oil	PC%	WG%	WtrT	AirT	Knock	BatV	Speed	???(2)	O2S	???	InjFrSc	AN1-AN2 Wide Band O2	AN2 raw	
0	20:04:00.267	0000100000111011	1614	6517	1.987	.541	2.804	273	25	24	175	16	1	1	72	24	6	14.1	0	16	4.4	76	0	17.76	0.000	
.041	20:04:00.308	0000100000111011	1667	6357	1.947	.541	2.687	273	21	20	175	16	1	1	72	24	0	14.1	0	16	4.4	76	0	17.76	0.000	
.092	20:04:00.359	0000100000111011	1611	6213	1.93	.537	2.507	273	25	25	175	16	1	1	72	24	0	14.1	0	16	4.41	76	0	17.79	0.000	
.143	20:04:00.410	0000100000111011	1547	6189	1.94	.537	2.695	273	24	24	175	16	1	1	72	24	0	14.1	0	16	4.4	76	0	17.76	0.000	
.191	20:04:00.458	0000100000111011	1448	6477	1.988	.537	3.031	273	24	23	175	16	1	1	72	24	0	14.1	0	16	4.254	76	0	17.42	0.000	
.24	20:04:00.507	0000100000111011	1473	6685	2.008	.537	3.39	273	24	22	175	16	1	1	72	24	0	14.1	0	16	4.269	76	0	17.45	0.000	
.29	20:04:00.557	0000100000111011	1593	6517	1.984	.541	3	273	24	23	175	16	1	1	72	24	1	14.1	0	16	4.229	76	0	17.36	0.000	
.339	20:04:00.606	0000100000111011	1624	6341	1.955	.537	2.71	273	25	24	175	16	1	1	72	24	6	14.1	0	16	4.4	76	0	17.76	0.000	
.388	20:04:00.655	0000100000111011	1575	6301	1.951	.537	2.57	273	24	24	175	16	1	1	72	24	0	14.1	0	16	4.4	76	0	17.76	0.000	
.441	20:04:00.708	0000100000111011	1493	6365	1.962	.541	3.132	273	24	23	175	16	1	1	72	24	0	14.1	0	16	4.41	76	0	17.79	0.000	
.492	20:04:00.759	0000100000111011	1467	6469	1.994	.541	3.273	273	24	23	175	16	1	1	72	24	0	14.1	0	16	4.41	76	0	17.79	0.000	
.542	20:04:00.809	0000100000111011	1467	6717	2.03	.537	3.414	273	24	22	175	16	1	1	72	24	0	14.1	0	16	4.39	76	0	17.74	0.000	
.591	20:04:00.858	0000100000111011	1484	6653	2.013	.541	3.226	273	24	23	175	16	1	1	72	24	0	14.1	0	16	4.4	76	0	17.76	0.000	
.641	20:04:00.908	0000100000111011	1611	6493	1.98	.537	2.843	273	25	24	175	16	1	1	72	24	0	14.1	0	16	4.4	76	0	17.76	0.000	
.691	20:04:00.958	0000100000111011	1566	6421	1.971	.541	2.796	273	24	23	175	16	1	1	72	24	0	14.1	0	16	4.4	76	0	17.76	0.000	
.739	20:04:01.006	0000100000111011	1514	6429	1.972	.541	2.82	273	24	23	175	16	1	1	72	24	0	14.1	0	16	4.41	76	0	17.79	0.000	
.791	20:04:01.058	0000100000111011	1470	6517	1.993	.541	3.164	273	24	23	175	16	1	1	72	24	0	14.1	0	16	4.41	76	0	17.79	0.000	
.842	20:04:01.109	0000100000111011	1472	6653	2.014	.537	3.281	273	24	23	175	16	1	1	72	24	0	14.1	0	16	4.4	76	0	17.76	0.000	
.89	20:04:01.157	0000100000111011	1537	6621	2.009	.541	3.226	273	24	23	175	16	1	1	72	24	0	14.1	0	16	4.4	76	0	17.76	0.000	
.94	20:04:01.207	0000100000111011	1621	6517	1.979	.541	3.015	273	25	24	175	16	1	1	72	24	1	14.1	0	16	4.4	76	0	17.76	0.000	
.989	20:04:01.256	0000100000111011	1585	6309	1.949	.537	2.664	273	24	24	175	16	1	1	72	24	0	14.1	0	16	4.4	76	0	17.76	0.000	
1.042	20:04:01.309	0000100000111011	1549	6317	1.962	.537	2.843	273	24	24	175	16	1	1	72	24	0	14.1	0	16	4.4	76	0	17.76	0.000	
1.09	20:04:01.357	0000100000111011	1484	6501	1.988	.541	3.14	273	24	23	175	16	1	1	72	24	0	14.1	0	16	4.38	76	0	17.72	0.000	
1.139	20:04:01.406	0000100000111011	1452	6637	2.019	.541	3.218	273	23	22	175	16	1	1	72	24	0	14.1	0	16	4.319	76	0	17.57	0.000	
1.189	20:04:01.456	0000100000111011	1575	6541	1.99	.537	3.031	273	24	23	175	16	1	1	72	24	0	14.1	0	16	4.4	76	0	17.76	0.000	
1.24	20:04:01.507	0000100000111011	1582	6453	1.971	.541	2.734	273	24	23	175	16	1	1	72	24	0	14.1	0	16	4.39	76	0	17.74	0.000	
1.291	20:04:01.558	0000100000111011	1525	6429	1.968	.537	2.781	273	24	23	175	16	1	1	72	24	0	14.1	0	16	4.339	76	0	17.62	0.000	
